; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
aByaGAya	aByaGAy
paryaNK	paryaNKay
anvaYc	anvac
apAYc	apAc
avAYc	avAc
AYc	Ac
udaYc	udac
vyudaYc	vyudac
samudaYc	samudac
upAYc	upAc
nyaYc	nyac
paryaYc	paryac
pratyaYc	pratyac
vyaYc	vyac
samaYc	samac
anvf	anvar
aByf	aByar
udf	udar
nyf	nyar
nisf	nirar
pratyf	pratyar
vyf	vyar
samf	samar
aBisamf	aBisamar
aByfC	aByarC
udfC	udarC
nyfC	nyarC
nisfC	nirarC
saMnisfC	saMnirarC
vyfC	vyarC
samfC	samarC
aByarT	aByarTay
prArT	prArTay
aBiprArT	aBiprArTay
saMprArT	saMprArTay
pratyarT	pratyarTay
samarT	samarTay
aDyfD	aDyarD
anvfD	anvarD
vyfD	vyarD
samfD	samarD
anvfz	anvarz
aByfz	aByarz
paryfz	paryarz
vyfz	vyarz
samfz	samarz
aDyfz	aDyarz
udfz	udarz
nyfz	nyarz
vyaSAya	vyaSAy
anvinD	anviD
aBInD	aBID
enD	eD
parInD	parID
prenD	preD
saMprenD	saMpreD
pratInD	pratID
saminD	samiD
aBisaminD	aBisamiD
upasaminD	upasamiD
prerajya	prerajy
samizaRya	samizaRy
protkaRWa	protkaRW
samutkaRWa	samutkaRW
prollAGaya	prollAGay
upeqakIya	upeqakIy
anukaT	anukaTay
nikaT	nikaTay
parikaT	parikaTay
prakaT	prakaTay
vikaT	vikaTay
saMkaT	saMkaTay
atikf	atikar
vyatikf	vyatikar
aDikf	aDikar
anukf	anukar
apakf	apakar
pratyapakf	pratyapakar
apikf	apikar
aBikf	aBikar
araMkf	araMkar
alaMkf	alaMkar
avakf	avakar
anvavakf	anvavakar
Akf	Akar
atyAkf	atyAkar
anvAkf	anvAkar
apAkf	apAkar
vyapAkf	vyapAkar
avAkf	avAkar
udAkf	udAkar
upAkf	upAkar
aByupAkf	aByupAkar
pratyupAkf	pratyupAkar
samupAkf	samupAkar
nyAkf	nyAkar
nirAkf	nirAkar
paryAkf	paryAkar
prAkf	prAkar
samAkf	samAkar
upasamAkf	upasamAkar
izkf	izkar
utkf	utkar
upakf	upakar
pratyupakf	pratyupakar
nikf	nikar
pranikf	pranikar
vinikf	vinikar
nizkf	nizkar
aBinizkf	aBinizkar
upanizkf	upanizkar
vinizkf	vinizkar
parAkf	parAkar
parikf	parikar
prakf	prakar
viprakf	viprakar
samprakf	samprakar
