ajYAnaboDinI,saMkziptavedAntaSAstraprakriyA
aRumaDvavijaya,aprameyanavamAlikA
aRuratnamaRqana,ratnamaRqana
aRuvAyustuti,laGuvAyustuti
advayAnanda,advEtAnanda
advEtabrahmasidDi,advEtasidDi
advEtAnanda,advayAnanda
aDikaraRanyAyamAlA,vedAntADikaraRamAlA
anantaBawwa,bApuBawwa
anuttarabrahmatattvarahasya,fSyaSfNgasaMhitA
anunyAsa,tantrapradIpa
anuBavasAropanizad,sarvasAropanizad
anumitimAnasavAda,anumAnaprAmARyavyavasTApana
anUpavilAsa,DarmAmBoDi
anekArTatilaka,nAnArTaratnatilaka
antyezwipadDati,OrDvadehikapadDati
antyezwipadDati,OrDvadehikapadDati
anvAramBaRIyAhOtra,ADAnahOtra
abdapUrtiprayoga,varzavfdDi
aBiDAnacUqAmaRi,niGaRwurAja
aBiDAnacUqAmaRi,rAjaniGaRwu
aBiDAnatantra,nAmaliNgAnuSAsana
aBinavakAlidAsa,navakAlidAsa
aBirAmagosvAmin,rAmadAsa
aBilazitArTacintAmaRi,mAnasollAsa
amarakoSa,nAmaliNgAnuSAsana
amarakoSa,trikARqa
amaruSataka,SfNgAraSataka
amftamaYjarI,ajIrRamaYjarI
arkaprakASa,arkacikitsA
alaMkAra,laNkaka
avimuktanirukti,brahmAvAsa
aSvacikitsA,aSvaSAstra
aSvAyurveda,sidDayogasaMgraha
azwAvakragItA,avaDUtAnuBUti
azwAvakragItA,aDyAtmaSAstra
azwAvakradIpikA,vedAntarahasyadIpikA
ahirbuDnyasaMhitA,tantrarahasya
ahobalaSAstrin,boDAnandaGana
AKyAtavAda,AKyAtaviveka
AKyAtavyAkaraRa,DAturUpa
AcAradIpa,AcArapradIpa
Atmatattvaviveka,bOdDaDikkAra
AtmaprakASa,svaprakASa
AtmaboDopanizad,AtmapraboDopanizad
Atmamandirastotra,nATastuti
AtmavidyopadeSa,AtmavidyopadeSaviDi
AtmArpaRastuti,SivapaYcASikA
AtmopadeSaviDi,AtmavidyopadeSa
AtmopadeSaviDi,AtmavidyopadeSaviDi
AdityaAcArya,kOSikAditya
AdityaBawwakavivallaBa,AdityasUri
AdityapurARa,sUryapurARa
Ananda,AnandaDara
Anandakusuma,Anandapuzpa
AnandaDara,Ananda
AnandaniDi,rAmakASikA
Anandanilayastotra,veNkaweSastotra
AnandalaharI,sOndaryalaharI
ApastambasUtraDvanitArTakArikA,trikARqamaRqana
AruRIyopanizad,AruReyopanizad
AryAtriSatImuktaka,rasikaraYjana
AryApaYcASIti,paramArTasAra
ASAditya,ASArka
ASOcanirRaya,zaqaSIti
ASOcanirRaya,smftikOstuBa
ASOcanirRaya,smftisaMgraha
ASOcanirRaya,smftisAra
ISAvAsyopanizad,ISopanizad
ISvarastotra,nArAyaRIya
utpala,Bawwotpala
utpaladeva,utpala
utpalamAlA,utpalinI
utsargamayUKa,jalASayArAmotsargamayUKa
udvAhavyavasTA,saMbanDavyavasTAvikASa
upadeSasAhasrI,sakalavedopanizatsAropadeSasAhasrI
umApatiDara,umApati
oMkAramAhAtmya,gItAsAra
kaWaSrutyupanizad,kaRWaSrutyupanizad
kaTAkoSa,SakunaratnAvalI
kapilapaYcarAtra,mahAkapilapaYcarAtra
karaRakutUhala,grahAgamakutUhala
karaRakutUhala,brahmatulya
karuRAlaharI,vizRulaharI
karpUrastava,SyAmAstotra
