; kuberaH kuveraH
; KarbbaH KarvvaH
ganDavaRik ganDabaRik
; garbba garvva
; garbba garvva
; garbbaH garvvaH
gIrvvARaH gIrbbARaH
gIrvvARakusumaM gIrbbARakusumaM
CattraM CatraM
CAtraH CAttraH
tattvaM tatvaM
tarba tarbba
daDisaktavaH daDiSaktavaH
durDaraH durdDaraH
durDarzA durdDarzA
dyuzat dyusat
DOtakOzeyaM DOtakOSeyaM
DvAkza DmAkza
DvANkzaH DmANkzaH
nimbUkaM nimbukaM
nirudDaprakaSaH nirudDaprakASaH
nisyandaH nizyandaH
patraM pattraM
pItaSAlaH pItasAlaH
puttraH putraH
pUrbbaH pUrvvaH
pOttraH pOtraH
Put PUt
PeRapaH PenapaH
PeRI PenI
; baka vaka
bakaH vavaH
bakaciYcikA vakaciYcikA
bakajit vakajit
bakaDUpaH vakaDUpaH
bakanisUdanaH vakanisUdanaH
bakapaYcakaM vakapaYcakaM
bakapuzpaH vakapuzpaH
bakavfttiH vakavfttiH
bakavErI vakavErI
bakavratI vakavratI
bakAcI vakAcI
bakAriH vakAriH
bakulaH vakulaH
bakulA vakulA
bakulI vakulI
bakUlaH vakUlaH
bakerukA vakerukA
baqavA vaqavA
baqavAgniH vaqavAgniH
baqavAnalaH vaqavAnalaH
baqavAmuKaH vaqavAmuKaH
baqavAsutO vaqavAsutO
baqavAhftaH vaqavAhftaH
baRik vaRik
baRik vaRik
baRigbanDuH vaRigbanDuH
baRigvahaH vaRigvahaH
baRijaH vaRijaH
baRijyaM vaRijyaM
badaraM vadaraM
badaraH vadaraH
badaraPalI vadaraPalI
badaravallI vadaravallI
baDUH vaDUH
; baBra vaBra
balaM valaM
balaH valaH
balakzaH valakzaH
balA valA
balAkaH valAkaH
balAkA valAkA
balAhakaH valAhakaH
baliH valiH
baliDvaMsI valiDvaMsI
balinaH valinaH
balinandanaH valinandanaH
balinI valinI
balipuzwaH valipuzwaH
balipodakI valipodakI
balipriyaH valipriyaH
baliBaH valiBaH
baliBuk valiBuk
balimandiraM valimandiraM
balimAn valimAn
balimuKaH valimuKaH
balizWaH valizWaH
balizWaH valizWaH
balisadma valisadma
balihA valihA
balI valI
balI valI
balIkaM valIkaM
balImuKaH valImuKaH
balIyAn valIyAn
balIvarddaH valIvarddaH
balyaM valyaM
; bAqa vAqa
bAqavaM vAqavaM
bAqavaH vAqavaH
bAqavAgniH vAqavAgniH
bAqavAgryaH vAqavAgryaH
bAqaveyO vAqaveyO
bAqavyaM vAqavyaM
bARaH vARaH
bARagaNgA vARagaNgA
bARadaRqaH vARadaRqaH
bARapuNKA vARapuNKA
bARapuraM vARapuraM
bARaBawwaH vARaBawwaH
bARayudDaM vARayudDaM
bARaliNgaM vARaliNgaM
bARavAraH vARavAraH
bARasutA vARasutA
bARahA vARahA
bARA vARA
bARA vARA
bARAriH vARAriH
bARASrayaH vARASrayaH
bARAsanaM vARAsanaM
bARijaH vARijaH
bARijikaH vARijikaH
bARijyaM vARijyaM
bARijyA vARijyA
; bADa vADa
bADaH vADaH
bADakaH vADakaH
bADanaM vADanaM
bADA vADA
bADitaH vADitaH
bAlaH vAlaH
bAluH vAluH
bAlukaM vAlukaM
bAlukaH vAlukaH
bAlukA vAlukA
bAlukAgaqaH vAlukAgaqaH
bAlukAtmikA vAlukAtmikA
bAlukApraBA vAlukApraBA
bAlukAmayaM vAlukAmayaM
bAlukAyantraM vAlukAyantraM
bAlukAsvedaH vAlukAsvedaH
bAlukI vAlukI
bAluNkI vAluNkI
bAluNgikA vAluNgikA
bAluNgI vAluNgI
bAlUkaH vAlUkaH
bAleyaH vAleyaH
; bAspaH vAspaH
BakzapatrA BakzyapatrA
Buvanakoza BuvanakoSa
muSalikA muzalikA
; mekalakanyakA meKalakanyakA
mekalAdrijA meKalAdrijA
lAvaH lAbaH
lAvakaH lAbakaH
libiH liviH
libikaraH livikaraH
libiNkaraH liviNkaraH
vawuH bawuH
vaRqaH baRqaH
; vada bada
; vada bada
vaDANgakaM BaDANgakaM
vandiH bandiH
vandigrAhaH bandigrAhaH
vandicOraH bandicOraH
vandipAWaH bandipAWaH
vandI bandI
vandIkAraH bandIkAraH
vayasTA vayaHsTA
varhaM barhaM
varhiRaH barhiRaH
varhI barhI
valiSaM baliSaM
valiSiH baliSiH
valiSI baliSI
valUkaM balUkaM
valUlaH balUlaH
valkaM balkaM
valkaH balkaH
valkalaM balkalaM
valkalaH balkalaH
valguH balguH
valgukaM balgukaM
valmIkaH balmIkaH
valvajaH balvajaH
valvajA balvajA
vastaH bastaH
vasvOkasArA vasvokasArA
vahalaH bahalaH
vahiH bahiH
vahiHkuwIcaraH bahiHkuwIcaraH
vahirdvAraM bahirdvAraM
vahirdvAraprakozWakaH bahirdvAraprakozWakaH
vahirBUtaH bahirBUtaH
vahirmuKaH bahirmuKaH
vahiScaraH bahiScaraH
vARiH bARiH
vARinI bARinI
vARI bARI
vAdaraM bAdaraM
vAdaraH bAdaraH
vAdarA bAdarA
; vArdDrInasaH vArdDrIRasaH
vArhataM bArhataM
vArhadraTaH bArhadraTaH
vArhadraTiH bArhadraTiH
; vAlakaH bAlakaH
; vAhAvAhavi bAhAbAhavi
; vAhuH bAhuH
; vAhumUlaM bAhumUlaM
; vAhulaH bAhulaH
vAhulyaM bAhulyaM
vAhyendriyaM bAhyendriyaM
viqAlaH biqAlaH
viqAlakaM biqAlakaM
viqAlakaH biqAlakaH
viqAlapadaH biqAlapadaH
viqAlapadakaM biqAlapadakaM
viqAlI biqAlI
vitarddiH vitardDiH
vitarddikA vitardDikA
vidvezaRI vidveziRI
vinduH binduH
vinduH binduH
vinducitrakaH binducitrakaH
vindujAlaM bindujAlaM
vindujAlakaM bindujAlakaM
vindutantraH bindutantraH
vindupatraH bindupatraH
vindureKakaH bindureKakaH
vinduvAsaraH binduvAsaraH
vindusaraH bindusaraH
vipAWaH vipAwaH
viBrat biBrat
vimarzaH vimarSaH
vimbaM bimbaM
vimbaH bimbaH
vimbaH bimbaH
vimbakaM bimbakaM
vimbajA bimbajA
vimbA bimbA
vimbikA bimbikA
vimbI bimbI
vimbuH bimbuH
vilaM bilaM
vilaH bilaH
vilakArI bilakArI
vilavAsaH bilavAsaH
vilavAsI bilavAsI
vilaSayaH bilaSayaH
vilevAsI bilevAsI
vileSayaH bileSayaH
villaM billaM
villamUlA billamUlA
villasUH billasUH
vilvaM bilvaM
vilvaH bilvaH
vilvapezikA bilvapezikA
vilvA bilvA
vivruvan vibruvan
vismApanaH vismAyanaH
vIjaM bIjaM
; vudDiH budDiH
vftraH vfttraH
vfhaccaYcuH bfhaccaYcuH
vfhaccittaH bfhaccittaH
vfhacCalkaH bfhacCalkaH
vfhajjIvantI bfhajjIvantI
vfhaqQakkA bfhaqQakkA
vfhatikA bfhatikA
vfhatI bfhatI
vfhatIpatiH bfhatIpatiH
vfhat bfhat
vfhatkaH bfhatkaH
vfhatkandaH bfhatkandaH
vfhatkAlaSAkaH bfhatkAlaSAkaH
vfhatkASaH bfhatkASaH
vfhatkukziH bfhatkukziH
vfhattAlaH bfhattAlaH
vfhattikA bfhattikA
vfhattfRaH bfhattfRaH
vfhattvak bfhattvak
vfhatpatraH bfhatpatraH
vfhatpatrA bfhatpatrA
vfhatpAwaliH bfhatpAwaliH
vfhatpArevataM bfhatpArevataM
vfhatpAlI bfhatpAlI
vfhatpIluH bfhatpIluH
vfhatpuzpI bfhatpuzpI
vfhatPalaH bfhatPalaH
vfhatPalA bfhatPalA
vfhadaNgaH bfhadaNgaH
vfhadamlaH bfhadamlaH
vfhadelA bfhadelA
vfhadgolaM bfhadgolaM
vfhaddalaH bfhaddalaH
vfhadDalaM bfhadDalaM
vfhadvIjaH bfhadvIjaH
vfhadBawwArikA bfhadBawwArikA
vfhadraTaH bfhadraTaH
vfhadrAvI bfhadrAvI
vfhadvalkaH bfhadvalkaH
vfhadvAtaH bfhadvAtaH
vfhadvAruRI bfhadvAruRI
vfhannalaH bfhannalaH
vfhaspatiH bfhaspatiH
vfhaspaticakraM bfhaspaticakraM
vEjikaM bEjikaM
vEjikaH bEjikaH
vEqAlavrataM bEqAlavrataM
vEqAlavratiH bEqAlavratiH
vEqAlavratikaH bEqAlavratikaH
vEqAlavratI bEqAlavratI
; vOdDaM bOdDaM
SatarudrIyaM SatarudriyaM
; SaraBaH SalaBaH
SavalaH SabalaH
SAnapAdaH SARapAdaH
SivAvaliH SivAbaliH
SyonAkaH SyoRAkaH
saMvaraM sambaraM
saMvaraH sambaraH
sAttvataH sAtvataH
sAttvatAH sAtvatAH
sAttvatI sAtvatI
; sAyakaH SAyakaH
sinIvAlI sinIbAlI
sinduvAraH sinDuvAraH
; sIraH SIraH
sIrakaH SIrakaH
sIraDvajaH SIraDvajaH
surApAnaM surApARaM
suveSaH suvezaH
sPurja sPUrja
