; Case 001  akz  2 (0/2)
01        nis        akz               nirakz               nirakz no
02        sam        akz               samakz               samakz no
; Case 002  aGAy  1 (1/0)
01        aBi       aGAy              aByaGAy             aByaGAya yes
; Case 003  aNKay  1 (1/0)
01       pari      aNKay            paryaNKay              paryaNK yes
; Case 004  ac  13 (9/4)
01        anu         ac                anvac               anvaYc yes
02        apa         ac                 apAc                apAYc no
03        ava         ac                 avAc                avAYc no
04          A         ac                   Ac                  AYc yes
05         ud         ac                 udac                udaYc yes
06       vyud         ac               vyudac              vyudaYc no
07      samud         ac              samudac             samudaYc yes
08        upa         ac                 upAc                upAYc yes
09         ni         ac                 nyac                nyaYc yes
10       pari         ac               paryac              paryaYc yes
11      prati         ac              pratyac             pratyaYc no
12         vi         ac                 vyac                vyaYc yes
13        sam         ac                samac               samaYc yes
; Case 005  aj  12 (9/3)
01        ati         aj                atyaj                atyaj no
02        apa         aj                 apAj                 apAj yes
03        aBi         aj                aByaj                aByaj yes
04        ava         aj                 avAj                 avAj no
05          A         aj                   Aj                   Aj yes
06       aByA         aj                aByAj                aByAj yes
07         ud         aj                 udaj                 udaj yes
08        upa         aj                 upAj                 upAj yes
09        nis         aj                niraj                niraj yes
10        pra         aj                 prAj                 prAj no
11         vi         aj                 vyaj                 vyaj yes
12        sam         aj                samaj                samaj yes
; Case 006  aYj  13 (11/2)
01        anu        aYj               anvaYj               anvaYj yes
02      antar        aYj             antaraYj             antaraYj yes
03        aBi        aYj               aByaYj               aByaYj yes
04          A        aYj                  AYj                  AYj yes
05       samA        aYj               samAYj               samAYj no
06         ud        aYj                udaYj                udaYj yes
07        upa        aYj                upAYj                upAYj yes
08         ni        aYj                nyaYj                nyaYj yes
09      prati        aYj             pratyaYj             pratyaYj yes
10         vi        aYj                vyaYj                vyaYj yes
11      anuvi        aYj             anuvyaYj             anuvyaYj no
12      aBivi        aYj             aBivyaYj             aBivyaYj yes
13        sam        aYj               samaYj               samaYj yes
; Case 007  aw  1 (1/0)
01       pari         aw               paryaw               paryaw yes
; Case 008  at  3 (1/2)
01        aBi         at                aByat                aByat no
02        ava         at                 avAt                 avAt no
03        sam         at                samat                samat yes
; Case 009  ad  7 (5/2)
01        api         ad                apyad                apyad yes
02        ava         ad                 avAd                 avAd no
03          A         ad                   Ad                   Ad no
04        pra         ad                 prAd                 prAd yes
05      prati         ad              pratyad              pratyad yes
06         vi         ad                 vyad                 vyad yes
07        sam         ad                samad                samad yes
; Case 010  an  15 (9/6)
01        apa         an                 apAn                 apAn yes
02     aByapa         an              aByapAn              aByapAn yes
03        ava         an                 avAn                 avAn yes
04      vyava         an               vyavAn               vyavAn no
05        udA         an                 udAn                 udAn no
06         ud         an                 udan                 udan yes
07      aByud         an              aByudan              aByudan yes
08       parA         an                parAn                parAn no
09        pra         an                 prAn                 prAn yes
10     anupra         an              anuprAn              anuprAn no
11     aBipra         an              aBiprAn              aBiprAn no
12         vi         an                 vyan                 vyan yes
13      aBivi         an              aBivyan              aBivyan yes
14        sam         an                saman                saman yes
15     anusam         an             anusaman             anusaman no
; Case 011  am  4 (2/2)
01        aBi         am                aByam                aByam yes
02       pari         am               paryam               paryam no
03         vi         am                 vyam                 vyam no
04        sam         am                samam                samam yes
; Case 012  ar  13 (12/1)
01        anu         ar                anvar                 anvf yes
02        apa         ar                 apAr                 apAr yes
03        aBi         ar                aByar                 aByf yes
04          A         ar                   Ar                   Ar yes
05         ud         ar                 udar                  udf yes
06        upa         ar                 upAr                 upAr yes
07         ni         ar                 nyar                  nyf yes
08        nis         ar                nirar                 nisf no
09        pra         ar                 prAr                 prAr yes
10      prati         ar              pratyar               pratyf yes
11         vi         ar                 vyar                  vyf yes
12        sam         ar                samar                 samf yes
13     aBisam         ar             aBisamar              aBisamf yes
; Case 013  arc  7 (7/0)
01        anu        arc               anvarc               anvarc yes
02        aBi        arc               aByarc               aByarc yes
03     samaBi        arc            samaByarc            samaByarc yes
04        pra        arc                prArc                prArc yes
05     aBipra        arc             aBiprArc             aBiprArc yes
06      prati        arc             pratyarc             pratyarc yes
07        sam        arc               samarc               samarc yes
; Case 014  arC  12 (7/5)
01        apa        arC                apArC                apArC yes
02        aBi        arC               aByarC                aByfC yes
03        ava        arC                avArC                avArC yes
04          A        arC                  ArC                  ArC yes
05         ud        arC                udarC                 udfC no
06        upa        arC                upArC                upArC yes
07         ni        arC                nyarC                 nyfC no
08        nis        arC               nirarC                nisfC no
09     saMnis        arC            saMnirarC             saMnisfC no
10        pra        arC                prArC                prArC yes
11         vi        arC                vyarC                 vyfC yes
12        sam        arC               samarC                samfC no
; Case 015  arj  13 (7/6)
01        ati        arj               atyarj               atyarj no
02     apyati        arj            apyatyarj            apyatyarj yes
03     aByati        arj            aByatyarj            aByatyarj no
04        anu        arj               anvarj               anvarj yes
05        api        arj               apyarj               apyarj no
06        ava        arj                avArj                avArj no
07     anvava        arj             anvavArj             anvavArj yes
08     samava        arj             samavArj             samavArj yes
09       samA        arj               samArj               samArj no
10         ud        arj                udarj                udarj no
11        upa        arj                upArj                upArj yes
12     samupa        arj             samupArj             samupArj yes
13        pra        arj                prArj                prArj yes
; Case 016  arTay  6 (5/1)
01        aBi      arTay             aByarTay               aByarT yes
02        pra      arTay              prArTay                prArT yes
03     aBipra      arTay           aBiprArTay             aBiprArT yes
04     saMpra      arTay           saMprArTay             saMprArT no
05      prati      arTay           pratyarTay             pratyarT yes
06        sam      arTay             samarTay               samarT yes
; Case 017  ard  9 (8/1)
01        ati        ard               atyard               atyard yes
02        aBi        ard               aByard               aByard yes
03         ud        ard                udard                udard yes
04         ni        ard                nyard                nyard no
05        nis        ard               nirard               nirard yes
06        pra        ard                prArd                prArd yes
07      prati        ard             pratyard             pratyard yes
08         vi        ard                vyard                vyard yes
09        sam        ard               samard               samard yes
; Case 018  arD  6 (6/0)
01        aDi        arD               aDyarD                aDyfD yes
02        anu        arD               anvarD                anvfD yes
03          A        arD                  ArD                  ArD yes
04        upa        arD                upArD                upArD yes
05         vi        arD                vyarD                 vyfD yes
06        sam        arD               samarD                samfD yes
; Case 019  arz  10 (8/2)
01        anu        arz               anvarz                anvfz no
02        aBi        arz               aByarz                aByfz yes
03       pari        arz              paryarz               paryfz yes
04        pra        arz                prArz                prArz yes
05         vi        arz                vyarz                 vyfz yes
06        sam        arz               samarz                samfz yes
07        aDi        arz               aDyarz                aDyfz no
08         ud        arz                udarz                 udfz yes
09        upa        arz                upArz                upArz yes
10         ni        arz                nyarz                 nyfz yes
; Case 020  arh  4 (3/1)
01        ati        arh               atyarh               atyarh yes
02        aBi        arh               aByarh               aByarh no
03        pra        arh                prArh                prArh yes
04        sam        arh               samarh               samarh yes
; Case 021  av  7 (5/2)
01        anu         av                anvav                anvav yes
02        aBi         av                aByav                aByav yes
03         ud         av                 udav                 udav no
04        upa         av                 upAv                 upAv yes
05        pra         av                 prAv                 prAv yes
06     saMpra         av              saMprAv              saMprAv no
07        sam         av                samav                samav yes
; Case 022  aS  17 (15/2)
01        anu         aS                anvaS                anvaS yes
02        aBi         aS                aByaS                aByaS yes
03          A         aS                   AS                   AS yes
04         ud         aS                 udaS                 udaS yes
05        upa         aS                 upAS                 upAS yes
06     samupa         aS              samupAS              samupAS yes
07       pari         aS               paryaS               paryaS yes
08        pra         aS                 prAS                 prAS yes
09      prati         aS              pratyaS              pratyaS no
10         vi         aS                 vyaS                 vyaS yes
11      anuvi         aS              anuvyaS              anuvyaS yes
12        sam         aS                samaS                samaS yes
13     anusam         aS             anusamaS             anusamaS yes
14     upasam         aS             upasamaS             upasamaS yes
15        ati         aS                atyaS                atyaS yes
16        nis         aS                niraS                niraS no
17     aBipra         aS              aBiprAS              aBiprAS yes
; Case 023  aSAy  1 (0/1)
01         vi       aSAy               vyaSAy              vyaSAya no
; Case 024  as  46 (41/5)
01        ati         as                atyas                atyas yes
02      vyati         as              vyatyas              vyatyas yes
03        anu         as                anvas                anvas yes
04   vyatyanu         as           vyatyanvas           vyatyanvas no
05        apa         as                 apAs                 apAs yes
06        api         as                apyas                apyas yes
07        aBi         as                aByas                aByas yes
08        upa         as                 upAs                 upAs yes
09         ni         as                 nyas                 nyas yes
10       pari         as               paryas               paryas yes
11        pra         as                 prAs                 prAs yes
12      prati         as              pratyas              pratyas yes
13         vi         as                 vyas                 vyas yes
14        sam         as                samas                samas yes
15        aDi         as                aDyas                aDyas yes
16      udapa         as               udapAs               udapAs yes
17     samaBi         as             samaByas             samaByas yes
18        ava         as                 avAs                 avAs no
19     anvava         as              anvavAs              anvavAs yes
20     aByava         as              aByavAs              aByavAs yes
21          A         as                   As                   As yes
22         ud         as                 udas                 udas yes
23       anUd         as               anUdas               anUdas yes
24     paryud         as             paryudas             paryudas yes
25       vyud         as               vyudas               vyudas yes
26    aBivyud         as            aBivyudas            aBivyudas yes
27     udvyud         as             udvyudas             udvyudas yes
28      vyupa         as               vyupAs               vyupAs yes
29      aBini         as              aBinyas              aBinyas yes
30      upani         as              upanyas              upanyas yes
31     parini         as             parinyas             parinyas no
32    pratini         as            pratinyas            pratinyas yes
33       vini         as               vinyas               vinyas yes
34      saMni         as              saMnyas              saMnyas yes
35   upasaMni         as           upasaMnyas           upasaMnyas no
36        nis         as                niras                niras yes
37     aBinis         as             aBiniras             aBiniras yes
38       parA         as                parAs                parAs yes
39     vipari         as             viparyas             viparyas yes
40    saMpari         as            saMparyas            saMparyas no
41     anupra         as              anuprAs              anuprAs yes
42     aBipra         as              aBiprAs              aBiprAs yes
43   pratipra         as            pratiprAs            pratiprAs yes
44      pravi         as              pravyas              pravyas yes
45     anusam         as             anusamas             anusamas yes
46     upasam         as             upasamas             upasamas yes
; Case 025  ah  9 (6/3)
01        aDi         ah                aDyah                aDyah yes
02        anu         ah                anvah                anvah yes
03        aBi         ah                aByah                aByah no
04        nis         ah                nirah                nirah yes
05       parA         ah                parAh                parAh no
06       pari         ah               paryah               paryah no
07        pra         ah                 prAh                 prAh yes
08      prati         ah              pratyah              pratyah yes
09         vi         ah                 vyah                 vyah yes
; Case 026  Ap  28 (22/6)
01        anu         Ap                anvAp                anvAp yes
02        aBi         Ap                aByAp                aByAp yes
03        ava         Ap                 avAp                 avAp yes
04   pratyava         Ap            pratyavAp            pratyavAp yes
05     samava         Ap              samavAp              samavAp yes
06          A         Ap                   Ap                   Ap yes
07         ud         Ap                 udAp                 udAp yes
08        upa         Ap                 upAp                 upAp yes
09     samupa         Ap              samupAp              samupAp no
10       pari         Ap               paryAp               paryAp yes
11    saMpari         Ap            saMparyAp            saMparyAp no
12        pra         Ap                 prAp                 prAp yes
13     anupra         Ap              anuprAp              anuprAp yes
14  samanupra         Ap           samanuprAp           samanuprAp yes
15     aBipra         Ap              aBiprAp              aBiprAp yes
16     upapra         Ap              upaprAp              upaprAp yes
17    paripra         Ap             pariprAp             pariprAp yes
18 saMparipra         Ap          saMpariprAp          saMpariprAp no
19     saMpra         Ap              saMprAp              saMprAp no
20  anusaMpra         Ap           anusaMprAp           anusaMprAp no
21  aBisaMpra         Ap           aBisaMprAp           aBisaMprAp no
22  upasaMpra         Ap           upasaMprAp           upasaMprAp yes
23      prati         Ap              pratyAp              pratyAp yes
24         vi         Ap                 vyAp                 vyAp yes
25      aBivi         Ap              aBivyAp              aBivyAp yes
26        sam         Ap                samAp                samAp yes
27     anusam         Ap             anusamAp             anusamAp yes
28    parisam         Ap            parisamAp            parisamAp yes
; Case 027  As  12 (12/0)
01        aDi         As                aDyAs                aDyAs yes
02     samaDi         As             samaDyAs             samaDyAs yes
03        anu         As                anvAs                anvAs yes
04      antar         As              antarAs              antarAs yes
05         ud         As                 udAs                 udAs yes
06        upa         As                 upAs                 upAs yes
07    paryupa         As             paryupAs             paryupAs yes
08     samupa         As              samupAs              samupAs yes
09       pari         As               paryAs               paryAs yes
10      prati         As              pratyAs              pratyAs yes
11        sam         As                samAs                samAs yes
12   pratisam         As           pratisamAs           pratisamAs yes
; Case 028  i  125 (101/24)
01       acCa          i                 acCe                 acCe no
02        ati          i                  atI                  atI yes
03     anvati          i               anvatI               anvatI yes
04      apAti          i                apAtI                apAtI yes
05     aByati          i               aByatI               aByatI yes
06      upAti          i                upAtI                upAtI yes
07 antarupAti          i           antarupAtI           antarupAtI yes
08      prAti          i                prAtI                prAtI no
09      vyati          i                vyatI                vyatI yes
10     samati          i               samatI               samatI yes
11        aDi          i                  aDI                  aDI yes
12      upADi          i                upADI                upADI no
13      prADi          i                prADI                prADI yes
14   pratyaDi          i             pratyaDI             pratyaDI yes
15     samaDi          i               samaDI               samaDI yes
16        anu          i                 anvi                 anvi yes
17     samanu          i              samanvi              samanvi yes
18      antar          i               antari               antari yes
19        apa          i                  ape                  ape yes
20      vyapa          i                vyape                vyape yes
21        api          i                  apI                  apI yes
22        aBi          i                  aBI                  aBI yes
23      udaBi          i                udaBI                udaBI yes
24     samaBi          i               samaBI               samaBI yes
25        ava          i                  ave                  ave yes
26     anvava          i               anvave               anvave yes
27     aByava          i               aByave               aByave yes
28  samaByava          i            samaByave            samaByave yes
29        Ava          i                  Ave                  Ave yes
30      upAva          i                upAve                upAve yes
31    paryava          i              paryave              paryave yes
32   pratyava          i             pratyave             pratyave yes
33 aBipratyava          i          aBipratyave          aBipratyave yes
34      vyava          i                vyave                vyave yes
35   anuvyava          i             anuvyave             anuvyave yes
36     samava          i               samave               samave yes
37          A          i                    e                    e yes
38       acCA          i                 acCe                 acCe no
39       atyA          i                 atye                 atye no
40       anvA          i                 anve                 anve yes
41       aByA          i                 aBye                 aBye yes
42    samaByA          i              samaBye              samaBye yes
43        avA          i                  ave                  ave yes
44        udA          i                  ude                  ude yes
45      anUdA          i                anUde                anUde yes
46     aByudA          i               aByude               aByude yes
47      upodA          i                upode                upode no
48        upA          i                  upe                  upe yes
49     aByupA          i               aByupe               aByupe yes
50        nyA          i                  nye                  nye yes
51       nirA          i                 nire                 nire yes
52       parA          i                 pare                 pare yes
53      paryA          i                parye                parye yes
54   anuparyA          i             anuparye             anuparye yes
55   aBiparyA          i             aBiparye             aBiparye yes
56     pratyA          i               pratye               pratye yes
57        prA          i                  pre                  pre yes
58       samA          i                 same                 same yes
59    aBisamA          i              aBisame              aBisame yes
60    upasamA          i              upasame              upasame yes
61   parisamA          i             parisame             parisame yes
62         ud          i                  udi                  udi yes
63       anUd          i                anUdi                anUdi yes
64       apod          i                apodi                apodi yes
65      aByud          i               aByudi               aByudi yes
66       upod          i                upodi                upodi yes
67       prod          i                prodi                prodi yes
68    pratyud          i             pratyudi             pratyudi yes
69      samud          i               samudi               samudi yes
70        upa          i                  upe                  upe yes
71     aDyupa          i               aDyupe               aDyupe no
72     aByupa          i               aByupe               aByupe yes
73  samaByupa          i            samaByupe            samaByupe yes
74     samopa          i               samope               samope no
75   pratyupa          i             pratyupe             pratyupe yes
76      vyupa          i                vyupe                vyupe yes
77     samupa          i               samupe               samupe yes
78        dus          i                 duri                 duri yes
79         ni          i                   nI                   nI no
80      aBini          i                aBinI                aBinI yes
81      upani          i                upanI                upanI yes
82        nis          i                 niri                 niri yes
83    anuparA          i              anupare              anupare yes
84    apaparA          i              apapare              apapare yes
85    aBiparA          i              aBipare              aBipare yes
86    upaparA          i              upapare              upapare yes
87  pratiparA          i            pratipare            pratipare yes
88     viparA          i               vipare               vipare yes
89    saMparA          i              saMpare              saMpare no
90       pari          i                 parI                 parI yes
91    anupari          i              anuparI              anuparI yes
92    aBipari          i              aBiparI              aBiparI no
93  pratipari          i            pratiparI            pratiparI yes
94     vipari          i               viparI               viparI yes
95 prativipari          i          prativiparI          prativiparI yes
96    saMpari          i              saMparI              saMparI no
97       palA          i                 pale                 pale no
98    prapalA          i              prapale              prapale no
99     vipalA          i               vipale               vipale no
100    saMpalA          i              saMpale              saMpale no
101       pali          i                 palI                 palI no
102    upapali          i              upapalI              upapalI yes
103     vipali          i               vipalI               vipalI no
104        pra          i                  pre                  pre yes
105     anupra          i               anupre               anupre yes
106     apapra          i               apapre               apapre yes
107     aBipra          i               aBipre               aBipre yes
108     upapra          i               upapre               upapre yes
109    paripra          i              paripre              paripre no
110      vipra          i                vipre                vipre yes
111     saMpra          i               saMpre               saMpre no
112      prati          i                pratI                pratI yes
113     Aprati          i               ApratI               ApratI yes
114   saMprati          i             saMpratI             saMpratI no
115        pla          i                  ple                  ple no
116     upapla          i               upaple               upaple yes
117         vi          i                   vI                   vI yes
118      anuvi          i                anuvI                anuvI yes
119      aBivi          i                aBivI                aBivI yes
120     parivi          i               parivI               parivI no
121        sam          i                 sami                 sami yes
122     atisam          i              atisami              atisami no
123     anusam          i              anusami              anusami yes
124     aBisam          i              aBisami              aBisami yes
125     upasam          i              upasami              upasami yes
; Case 029  iNg  3 (2/1)
01         ud        iNg                udiNg                udiNg yes
02         vi        iNg                 vINg                 vINg no
03        sam        iNg               samiNg               samiNg yes
; Case 030  iD  10 (4/6)
01        anu         iD                anviD               anvinD no
02        aBi         iD                 aBID                aBInD no
03          A         iD                   eD                  enD yes
04       pari         iD                parID               parInD no
05        pra         iD                 preD                prenD no
06     saMpra         iD              saMpreD             saMprenD no
07      prati         iD               pratID              pratInD no
08        sam         iD                samiD               saminD yes
09     aBisam         iD             aBisamiD            aBisaminD yes
10     upasam         iD             upasamiD            upasaminD yes
; Case 031  inv  7 (4/3)
01        ava        inv                avenv                avenv no
02          A        inv                  env                  env yes
03        upa        inv                upenv                upenv no
04        pra        inv                prenv                prenv yes
05      prati        inv              pratInv              pratInv yes
06         vi        inv                 vInv                 vInv no
07        sam        inv               saminv               saminv yes
; Case 032  iyakz  2 (0/2)
01        aBi      iyakz              aBIyakz              aBIyakz no
